Airport ID,label
2966,11
2974,11
6089,11
2923,11
2926,11
2930,11
2938,11
6093,11
6094,11
6095,11
6490,11
2932,11
3200,1
7479,11
6755,11
7478,11
2955,11
2957,11
3377,1
2935,11
3366,1
2936,11
6924,11
2972,11
6103,3
6105,3
7863,3
2958,11
2968,11
2973,11
2980,11
2981,11
2989,11
2991,11
3769,11
4111,11
4352,11
4364,11
6111,11
6147,11
6149,11
6150,11
6153,11
6158,11
6160,11
6165,11
6485,11
2956,11
2961,11
2963,11
3965,11
2967,11
2969,11
6121,11
6138,11
4297,11
6143,11
6148,11
6151,11
6154,11
4371,11
6734,11
7041,11
4363,11
4368,11
4369,11
6097,11
6102,11
6123,11
6124,11
6140,11
6142,11
6990,11
4370,11
6159,11
2996,8
2999,8
3001,8
3008,8
3010,8
3019,8
3020,8
3023,8
3063,8
3066,8
3089,8
3112,8
6761,8
3002,8
3009,8
3012,8
3084,8
3042,8
3022,8
3097,8
6169,8
7561,8
3120,1
3115,1
3116,1
3196,1
3038,8
3050,8
3055,8
6173,8
3039,8
3040,8
3155,8
3048,22
3053,8
3061,8
3146,8
6172,8
6174,8
6443,8
6175,8
3056,8
3068,8
3071,8
3177,1
3279,1
4030,1
4148,1
4302,1
6351,1
6354,1
6357,1
6390,1
6392,1
6393,1
3080,8
3085,8
3092,8
3094,8
3100,8
3101,8
3103,8
3104,8
3106,8
3931,1
3118,1
4081,1
4142,1
4143,1
3122,8
3127,8
3128,8
3129,8
4097,1
4172,8
4175,8
4177,8
4183,8
4188,8
6179,8
6180,8
6182,8
3130,8
3151,8
3142,8
4235,8
6183,8
6184,8
6185,8
3157,1
3170,1
3181,1
3182,1
3183,1
3184,1
3186,1
3932,1
3933,1
3936,1
3937,1
4000,1
4131,1
4132,1
4133,1
6186,1
3161,1
3163,1
3939,1
3173,1
3174,1
3408,1
4135,1
4153,1
6187,1
6194,1
4082,1
4154,1
4157,1
4158,1
6191,1
6192,1
6193,1
6195,1
4155,1
4168,1
6188,1
6190,1
3213,22
3215,22
3220,22
3222,22
3227,22
3236,22
3237,22
3217,22
3224,22
4001,22
4152,22
6196,22
6787,22
3223,22
6197,22
6200,22
3232,22
3235,22
6198,22
6199,22
3240,1
3241,1
3243,1
3244,1
3247,1
3249,1
3250,1
3253,1
3256,1
3890,1
3919,1
3246,1
6212,1
3261,25
3260,25
3262,1
3263,1
3266,1
3267,1
3303,1
3270,1
3271,1
4141,1
3273,1
3903,1
3278,1
3284,1
3287,1
3288,1
3289,1
3294,1
3894,1
3898,1
3901,1
3904,1
3905,1
3908,1
3911,1
3923,1
3929,1
6223,1
3896,1
3282,1
3910,1
3296,1
3298,1
3299,1
3300,1
3302,1
3305,1
3307,1
3310,0
3407,1
4013,1
3318,0
3319,0
3324,0
3326,0
3328,0
3329,0
3330,0
3332,0
3336,0
3337,0
3345,0
3349,0
3355,0
3356,0
3362,0
4319,0
4320,0
6242,0
6269,0
6300,0
6308,0
7128,0
4010,0
6237,0
6260,0
6281,0
6286,0
6309,0
6319,0
3323,0
6322,0
6248,0
6262,0
6276,0
3325,0
6275,0
6289,0
6321,0
3333,0
3363,0
3334,0
6267,0
3346,0
4291,0
6271,0
6278,0
6294,0
6298,0
6303,0
6338,0
4051,0
6241,0
6253,0
6256,0
6312,0
6318,0
6334,0
