,airport,closeness_centrality
1941,2889,0.28207482949510004
2495,3685,0.2820194011536783
483,1737,0.28190860979592786
2437,3864,0.28185324675394124
801,1078,0.28182557338656233
118,120,0.2817425858796759
180,5852,0.28171493423713195
122,166,0.2816872880217996
787,1367,0.28157675740064136
2473,3641,0.2815491382974142
1253,3734,0.28152152461182206
1153,2960,0.28146631348716783
16,3322,0.28138353739262206
1428,3137,0.2813559561793901
2455,3454,0.28130080997080925
670,355,0.28130080997080925
1409,3341,0.28113550097376466
1448,2104,0.2810529193128501
305,1948,0.28086041731332073
1349,2005,0.28086041731332073
263,3602,0.2808329385522099
1463,3105,0.2808054651674953
1424,2234,0.28077799715759927
1414,2051,0.2807505345209446
1123,1469,0.2807230772559548
805,1476,0.2806956253610539
901,799,0.2806681788346668
1559,2384,0.2806407376752188
1554,3391,0.2806133018811357
1036,3974,0.2805584463827717
1086,1223,0.2805584463827717
1092,2715,0.2805584463827717
1432,7490,0.28053102667534574
511,1251,0.2804762033361479
524,1506,0.2803118618107556
2486,4009,0.2802844902785019
75,189,0.28020240774523014
1429,3143,0.28017505758342
549,1676,0.28009303912394
804,1455,0.2800110686705822
2429,3524,0.2800110686705822
2078,3279,0.2798472716137406
1090,2443,0.2798472716137406
406,1050,0.2798472716137406
1431,4150,0.2798199907332948
1042,2059,0.2796564170832168
1501,3098,0.2796291733991366
1500,3017,0.2796291733991366
213,3515,0.2796291733991366
535,1650,0.2795747019520929
757,503,0.2795747019520929
1043,2067,0.2795747019520929
1582,4149,0.2795202517228686
1044,2096,0.279465822699069
651,1057,0.279465822699069
1467,2134,0.2794114148683089
1483,5934,0.2793570282182129
195,144,0.27922115417725074
1571,3392,0.2791396931772963
1156,2965,0.2791396931772963
2487,4021,0.2791125500721643
2491,4292,0.2790854122452249
1491,2221,0.27892269603946535
655,373,0.27892269603946535
654,371,0.2788684994600347
1192,2992,0.27884140906762556
1587,2370,0.2787872440697492
1455,3074,0.2787601694612157
760,1005,0.2787601694612157
1496,2202,0.2787060360172966
